model,params_M,FLOPs_G,latency_ms,fps,avg_epoch_s,best_val_acc,epoch_at_95%best,test_acc
PCT-NET,8.112,8.222,2.46,405.9,64.1,0.6967,1,0.739
PCT-NET,8.112,8.222,2.29,436.5,61.6,0.5777,1,0.5777
PCT-NET,8.112,8.222,2.45,407.3,59.9,0.9578,4,0.9712
PCT-NET,0.024,0.102,0.38,2665.2,58.2,0.238,1,0.238
CNN,0.024,0.102,0.35,2842.7,53.7,0.2975,1,0.2572
CNN,0.024,0.102,0.42,2385.0,67.1,0.8042,41,0.8234
CNN_BilSTM,0.402,0.118,0.68,1461.4,54.4,0.3109,1,0.2649
CNN_BilSTM,0.402,0.118,0.56,1785.5,65.9,0.8157,31,0.858
Transformer,0.54,0.172,1.69,592.0,48.0,0.0787,1,0.0845
Transformer,0.54,0.172,1.93,517.6,51.8,0.3916,13,0.4165
ResNET18,11.176,1.412,2.75,363.4,45.0,0.6795,1,0.691
ResNET18,11.176,1.412,2.49,402.3,46.4,0.9443,7,0.9616
